item,arm,spk,gender,path,dur,sha256
121_4,real,121,F,corpus/final/real/121_4.wav,8.86,bd7157a201816e57e90cfbc3fbfb1dab9e07ef80f8ae9027b75f673ab68a3bca
1221_0,real,1221,F,corpus/final/real/1221_0.wav,7.84,b0bbfaafe55cbdfd97adee8c043c6a1db8a1a33066467536ca161a854bb37147
1221_1,real,1221,F,corpus/final/real/1221_1.wav,6.26,ac856b6a73a686ee3f52d237e642adcbe1d4d0547ee888fe06849d8cf8b42b2d
1221_2,real,1221,F,corpus/final/real/1221_2.wav,5.22,6402318ec84d1e032b89a77399b2af36475ce1eb00e19f21ae75339ed392bbca
1221_3,real,1221,F,corpus/final/real/1221_3.wav,12.38,619aead71494155caf782748181b872e7b96222d8556fe7d9a6625eb408440c2
1221_4,real,1221,F,corpus/final/real/1221_4.wav,7.47,e2a07bcbb3bd69a24892ca82f1bd60d33edd746beea33135ed29a48cb65577ba
1284_0,real,1284,F,corpus/final/real/1284_0.wav,8.08,777d65962efc9685de8645e1b987e7da78f000acee7e0fd84524b33a8957017f
1284_1,real,1284,F,corpus/final/real/1284_1.wav,6.95,01f75d5290f1e42a0e37cd65d99111b6cdd00f913f0957f2062aa49d43b123a7
1284_2,real,1284,F,corpus/final/real/1284_2.wav,11.83,61a20a90e32d587490e12cf8267ab3f79f35f08aeeb4d78b7e4da7347974803d
1284_3,real,1284,F,corpus/final/real/1284_3.wav,6.83,a0710a4f6cb4e7ad4c1c1e2e821cbc75a37bd0544dc65755230845e144ecfffe
1284_4,real,1284,F,corpus/final/real/1284_4.wav,4.44,ce596312a7bfbefff3caaa390b81e8d28100a17ebb63fb43dc6ba58bb3759963
1320_0,real,1320,M,corpus/final/real/1320_0.wav,8.23,58138e4bcd3d3c8c1629df709af9cc0bcf0a0e5b6840a348e74ac8c4938c2e2b
1320_1,real,1320,M,corpus/final/real/1320_1.wav,6.09,96933c0315411688ec8c51599928026c27d9d3087aab5abebf1dd566892543d1
1320_2,real,1320,M,corpus/final/real/1320_2.wav,10.4,fce1931495399329b4e9b189b0cdf21e3b06028e4c3f17a4157989f36a53cdcd
1320_3,real,1320,M,corpus/final/real/1320_3.wav,9.29,5989c0c806506a214e7fde6a89d1007dd2b8b8b5264621ca09dce5ce296e8fe7
1320_4,real,1320,M,corpus/final/real/1320_4.wav,6.76,db426d7ce33a1e23e8063c00de9a8e53a216ecc1518cc7b2d7d8e7d4ef337d77
1580_0,real,1580,F,corpus/final/real/1580_0.wav,9.66,f2fb0708849517807984753fe3f346c0ecca2bfd622bb25edf098d1669c2de92
1580_1,real,1580,F,corpus/final/real/1580_1.wav,6.38,91f66f624df05db4fc8941d9886654bc8a0fbcb391a55f11d79665456d17f812
1580_2,real,1580,F,corpus/final/real/1580_2.wav,8.39,259796323253fd3b06ccbc9a4752121b1300ed9c02e480afaf98ed67c95cd640
1580_3,real,1580,F,corpus/final/real/1580_3.wav,6.54,ee02f90e0a9bbfb5f0f2ef9323facbca30b8cdfe9560bc12fea9b9e408267250
1580_4,real,1580,F,corpus/final/real/1580_4.wav,10.46,4744bda84f23ea28523c264985b49dd4db3b6f25ce6b5622647e297d996b6610
1995_0,real,1995,F,corpus/final/real/1995_0.wav,10.57,be9d5c82e3a978f0ca17e82ba331b365a4ac5d19496ad2dd1ee3b496d9045d43
1995_1,real,1995,F,corpus/final/real/1995_1.wav,7.11,40e245cd2da420115101f3101c354adbf5fe8896a8d8dc0ee2a4508ac5c9d60e
1995_2,real,1995,F,corpus/final/real/1995_2.wav,6.54,a339d2eba691586fdf34b0bc6c15a9e7c4ee30e0e8c6a6b6d2cc5b0b14225d4f
1995_3,real,1995,F,corpus/final/real/1995_3.wav,8.37,9daa23631916e1970ba0a16002e83afddd77fbba8ea7f7a24a04febecc19ab0c
1995_4,real,1995,F,corpus/final/real/1995_4.wav,9.34,f7f82deb639aceb81fb725b6012e26e4fa2300980f6d94326b1957640116dc08
2094_0,real,2094,F,corpus/final/real/2094_0.wav,5.58,b8491158edffcfd648ad30f80f1e9885a4ea3ebacd937a543bd20106ad88d0f1
2094_1,real,2094,F,corpus/final/real/2094_1.wav,5.33,01b7f1fbff47f193947a969632f42a3e5f1acc8dfbc204eaf07909037a525fe2
2094_2,real,2094,F,corpus/final/real/2094_2.wav,4.45,dbc74b83e2c9fe2e91e01f3a4728ab7dc79ae8ba6e0ba6a6e1729ae433374699
2094_3,real,2094,F,corpus/final/real/2094_3.wav,6.93,6c125aa631d3c57def55804601aae3db4e0b9c5c4ea118d313e96ab2a695a47c
2094_4,real,2094,F,corpus/final/real/2094_4.wav,7.75,e76b874af53d31ecfc45caa5ac14b88dfbc720b61e3c11f5d67ad669e540bd46
2300_0,real,2300,M,corpus/final/real/2300_0.wav,9.02,9709068963937fec6b1fd8c0f9f928227533b518cdd6f23e87cf38accfbdb335
2300_1,real,2300,M,corpus/final/real/2300_1.wav,11.54,b8b005caa5baaf8e6e8ce75513569db21d2d911ced45c22e00c16eb9513e58b5
2300_2,real,2300,M,corpus/final/real/2300_2.wav,9.28,757e5c4a86057badff00373f6ef215b534444219e332faccb218767f86aa5a47
2300_3,real,2300,M,corpus/final/real/2300_3.wav,7.49,4958c1ce9449c16d995f450cee67fb5ba10ae99b403ba933e109163846628997
2300_4,real,2300,M,corpus/final/real/2300_4.wav,6.01,09c57e96131bce317f5feef72cb1dbe0736ca688b1e9a4044886570b55b63d32
237_0,real,237,F,corpus/final/real/237_0.wav,7.19,33f22d300c3b1ed1276d9f19841328b45e1daee1cf954aa74308dc53db84cafc
237_1,real,237,F,corpus/final/real/237_1.wav,5.19,9ba736a944b29d8ba24a88ab4f61e752f03fff9e21fffdfbecb5b006c590442c
237_2,real,237,F,corpus/final/real/237_2.wav,7.0,06afedab2409c7b6bd07ae9dd3d86f888799681591811f3230b7e4797ced5c1d
237_3,real,237,F,corpus/final/real/237_3.wav,6.55,eded2ea364bf5d31c471fb3c95be1f0a0ea0a64a1c418333de4cbba37ad422db
237_4,real,237,F,corpus/final/real/237_4.wav,4.85,7b0e09a86b17d9186dde1891e90794ea4df650b6f54af33595c0283de391629c
260_0,real,260,M,corpus/final/real/260_0.wav,6.71,ced7324b2c396f86c0a0da81cd5f616d8b3a4761f88b735429bad3fc06463299
260_1,real,260,M,corpus/final/real/260_1.wav,10.39,30602ad0a88f3b00296e13f7676d0c76c51015f1182bdc29291a4b38b319ebac
260_2,real,260,M,corpus/final/real/260_2.wav,5.27,9947f9077d0b570f402101fbe0126593b7d82c4f25228fa2be1e49edff94c312
260_3,real,260,M,corpus/final/real/260_3.wav,5.29,5aa828cd7ec98b440dde790e6281a981744f8f6550168e2ae52fcfba50e9998c
260_4,real,260,M,corpus/final/real/260_4.wav,5.39,1768bbfd85bf84123cd0721b98720b5ccc2f65e227afcd1176850a367be48eeb
2830_0,real,2830,M,corpus/final/real/2830_0.wav,5.65,9342262955a5e29acc41b4d007ac09be471251bd4612aae185eff2a13e7f4a73
2830_1,real,2830,M,corpus/final/real/2830_1.wav,7.42,a3a67292bee7b79949b5704d8643c45c87e6aac21fa9017245eca89e1f3d02ef
2830_2,real,2830,M,corpus/final/real/2830_2.wav,5.92,7b147dce2d3cbdd21301c3802ccbed04080e526e8519b828c811353e7ac7758c
2830_3,real,2830,M,corpus/final/real/2830_3.wav,5.29,4f215e7d21639c8b14a9907efaee099c21baff170dc27f5da908b1e7659b78b7
2830_4,real,2830,M,corpus/final/real/2830_4.wav,5.75,8e0f0cb838718c6ffb766faf23a05e1df5707620a91a21866620ed9eb108f7e0
2961_0,real,2961,F,corpus/final/real/2961_0.wav,8.21,f1a1a4eeb0a9cdceba0f3c609b5d44ded4b8fdc653bea5827a6d8ee02f84d5e9
2961_1,real,2961,F,corpus/final/real/2961_1.wav,8.16,2d65b31e7daef6d2b0513b78b2e9e013f77aee54ab48cd4c3e1db2cce759a174
2961_2,real,2961,F,corpus/final/real/2961_2.wav,8.23,94a274e29bed0f492797747ebe5d2db5bca2f5eaa98b6daf0d60ef9d8bc0ff16
2961_3,real,2961,F,corpus/final/real/2961_3.wav,7.83,c9c119ed5f460f4e6281875e0ff354c5e942aac32cdbd56d77382ddd3581b327
2961_4,real,2961,F,corpus/final/real/2961_4.wav,6.53,d9ec98bf23b8284f4956c0f5481a070a8f0f3f4a2e5fe3b49120a86efd67a791
3570_0,real,3570,F,corpus/final/real/3570_0.wav,5.73,cb8294cfc74e35031207b8f15116d1614aff7d46d8055d50f4d3388ca2c7ffab
3570_1,real,3570,F,corpus/final/real/3570_1.wav,7.97,a88adee1e16838683cbf1894f17cabfd16f93aa74ec4c7fde97a2dd7f3a87a61
3570_2,real,3570,F,corpus/final/real/3570_2.wav,7.91,457753243ef285c8ee8bfeae8f7bd659b504f3914ad708281486b072abd3c067
3570_3,real,3570,F,corpus/final/real/3570_3.wav,5.07,4b08bd8de3e63b06f797357873d8af9865d9bac3a4dbff8024fe4cdb5f3dfec3
3570_4,real,3570,F,corpus/final/real/3570_4.wav,10.15,53ee2b12ff0e17494721cfa653cc9195e5ef7cba62b08ef147b3e63f56e10c26
3575_0,real,3575,F,corpus/final/real/3575_0.wav,6.46,bca3358b4ea690d7d1258b6c408e34e43ebbe4356bc36f5581c06279a6acb48a
3575_1,real,3575,F,corpus/final/real/3575_1.wav,6.92,d1bd627af29254c529832bb0a63546674bad21c81bb97e88f20e093b0c2d8086
3575_2,real,3575,F,corpus/final/real/3575_2.wav,5.32,02813b5de3991bf7e26e79f0f13ac6adc3e11000c12bd503b92a5eaaffe39692
3575_3,real,3575,F,corpus/final/real/3575_3.wav,9.57,0c613eda7b6bb835eb368deaf9cf9d7a3add9a1060daee139b95dfee0968a300
3575_4,real,3575,F,corpus/final/real/3575_4.wav,6.8,0a03ffc7e154f7d1ff316dec06f0c9eaa39518c210c09588f599c3bb53df7ea0
3729_0,real,3729,F,corpus/final/real/3729_0.wav,4.8,88b9f716de861a6bacd41dd969eca5a07d07204873221674465511950df0e857
3729_1,real,3729,F,corpus/final/real/3729_1.wav,8.71,bb619b897d3348ce48761a655eafd158084227a41ffd36fd4c7ca0fec631dbdf
3729_2,real,3729,F,corpus/final/real/3729_2.wav,9.18,62c4f6a9bfc9defba45973744ae324b37931bc333f178ee68e71a87b6c6c9575
3729_3,real,3729,F,corpus/final/real/3729_3.wav,6.29,8ad903309c4c32444c9ea5190dc6a7d1d334d77bdec8ad13bec5cddc6cfc3cdb
3729_4,real,3729,F,corpus/final/real/3729_4.wav,6.11,1ccb65045f50bb23a08b2c8b9f1cb248eb825d7b17accb978374b7e12897af99
4077_0,real,4077,M,corpus/final/real/4077_0.wav,9.14,f6e9b788a0b0c72c0f7af809da67d27bd6ddca4ae075ccb0cdecdb46301e2c78
4077_1,real,4077,M,corpus/final/real/4077_1.wav,10.7,17c55df2396679341bdf4a3f5d0f964d77d588d481b73af169ff9a293976cae8
4077_2,real,4077,M,corpus/final/real/4077_2.wav,4.71,83500abd2392055cf986d5c9efbb4f756bfe810e474d6605b25fd095cfe129cb
4077_3,real,4077,M,corpus/final/real/4077_3.wav,6.08,45cfd28d91728aa482f18711e08f964ad3897f4eaef74995d21ce86e01b70648
4077_4,real,4077,M,corpus/final/real/4077_4.wav,11.37,4964eaa9ce893cff18f01bb28e9fa2fb8740626f3cf6f8472dd6c3620542e293
4446_0,real,4446,F,corpus/final/real/4446_0.wav,6.26,af0da0a9f72ab9735ea24190d3cca153a1e8fbd116c49e414acd8aefbf8af7ee
4446_1,real,4446,F,corpus/final/real/4446_1.wav,6.68,27d526e9901829d86d332b4b8c3b37674362e4fcf85c83f6f2ad2ba140432b2e
4446_2,real,4446,F,corpus/final/real/4446_2.wav,5.74,d4d0fab01d052c07f35692bee35e3fc2940d6e5e83190d06ee601810f7985f39
4446_3,real,4446,F,corpus/final/real/4446_3.wav,8.23,b3b9c92e9ed12456e838cb87581b1729e1df4aba3470244fe288160b878bf721
4446_4,real,4446,F,corpus/final/real/4446_4.wav,6.74,532ecc79d7f4cf3d79826d922b5737e637861189002aa6fcc9b4e925a2eda299
4507_0,real,4507,F,corpus/final/real/4507_0.wav,8.49,d8f7779abbd278984d277e3da61aeef3c630c279246a25280d5a1d12c2aa48ee
4507_1,real,4507,F,corpus/final/real/4507_1.wav,7.62,5fc1546ba834548d565563c1ed55bbaa710661bec161e86ead0c0922f04de69b
4507_2,real,4507,F,corpus/final/real/4507_2.wav,6.75,6e3088c5010ca063e054af430cd1dedde63afd99de185a32f42f276521b7edb4
4507_3,real,4507,F,corpus/final/real/4507_3.wav,10.98,a107d2badd444e8e595e684ca7d74469473f635fa7923dc25ad31cfbd2f4646e
4507_4,real,4507,F,corpus/final/real/4507_4.wav,10.78,019f8ed346b9a6a6354abf03f9d769d6d362d4dce0b1e2253dda413cfeb81dfb
4970_0,real,4970,F,corpus/final/real/4970_0.wav,7.34,7f5b75ba95f1950127d5a13b64f4fb3a60b26b534a19fad310a6a3191baff46b
4970_1,real,4970,F,corpus/final/real/4970_1.wav,11.85,ad9b640ea5875a4578517c88b79a3e0b977b3517522412884069a16f610bcc9b
4970_2,real,4970,F,corpus/final/real/4970_2.wav,6.44,5f74d189f2b0dfabc13c6237cfc2173fa7cef3e7e1853653cbe7745792bd8707
4970_3,real,4970,F,corpus/final/real/4970_3.wav,10.42,f4350cd33095c76785cab92ffdd93d2b14dffa0c4bdd667b5b1c8b0c4a5198f1
4970_4,real,4970,F,corpus/final/real/4970_4.wav,10.2,f4fae162cbd9063d05e7c9f265118b71198eba852363dfef066bdb99c8569715
4992_0,real,4992,F,corpus/final/real/4992_0.wav,9.37,57f6ec9179e366477147309a3520e616fdcb20ba72c3bba3ec150c6f7194974c
4992_1,real,4992,F,corpus/final/real/4992_1.wav,8.46,580acc7de5c3e5a5b3c5d7f5f9d431b602206107da432b1b8c6814dadf4cc3a9
4992_2,real,4992,F,corpus/final/real/4992_2.wav,5.84,317cb9d9b300314dc17848b092eac25167ac715989d19dc2441f4d3e606f2550
4992_3,real,4992,F,corpus/final/real/4992_3.wav,4.89,15186bb6072027a0d1a98a3b193e34b804b8f43b425a9de0693ced720a7c2514
4992_4,real,4992,F,corpus/final/real/4992_4.wav,8.71,5e875b1ecd62a32b3547ed8b19034e86934f72c8c29672f6d25d8c427cef273a
5105_0,real,5105,M,corpus/final/real/5105_0.wav,11.36,f9ea3bfe77806a183a88d251fbf8fbf30d986bd13c1be73939677fdaae8fbfdc
5105_1,real,5105,M,corpus/final/real/5105_1.wav,4.91,6400f593c8106599f88175ec974f63fd36011f722573a06d7d17f8be5ffd828a
5105_2,real,5105,M,corpus/final/real/5105_2.wav,6.64,1f08d323a2a7d4ee28369776db93b3c5b09702376c1ae41d1543e1ce83e24377
5105_3,real,5105,M,corpus/final/real/5105_3.wav,8.6,d9d3282ff112fb93ef320acca3a4728fd4d6fb103517b68ba3e147ad1fc81dcd
5105_4,real,5105,M,corpus/final/real/5105_4.wav,7.8,255276624d84a9f0966d890512a617cc392cc1ecbbb85336c174804917f4be4d
5142_0,real,5142,F,corpus/final/real/5142_0.wav,10.19,6596433627e962a64dd7323a3d2946dcf7dbf2a1ce6f713062683520df98358b
5142_1,real,5142,F,corpus/final/real/5142_1.wav,4.66,ce300e18f7c6064ab4c206e628cad279c0d5705b8b0c2c1da2bb2453f22fd546
5142_2,real,5142,F,corpus/final/real/5142_2.wav,6.18,e8fc7a18dc6615df6f437c81ffd45def34afebfd7eb906d78370b339d0c481bd
5142_3,real,5142,F,corpus/final/real/5142_3.wav,6.14,cbf4539af42e940436e4fc3adbf5c13d3af685b7d6fe2f5805f27c36c7f38759
5142_4,real,5142,F,corpus/final/real/5142_4.wav,4.99,7f65e84eabc8359f01e1c130787d42a66350d01f39b5c39be5592dac7151a799
5639_0,real,5639,M,corpus/final/real/5639_0.wav,4.52,082e85043f426d8070ac8013e785d2a192213481edb1d9e541c9f8bf465cd7fd
5639_1,real,5639,M,corpus/final/real/5639_1.wav,8.99,6a4be2c79d115a263a33e8da25ad0f8f9d8b3e6456a42de47d5d21f30a353c94
5639_2,real,5639,M,corpus/final/real/5639_2.wav,8.12,bbda53cc1aeeb79c77c31b3172381ca384a1ca543311981b5616679aa903b40f
5639_3,real,5639,M,corpus/final/real/5639_3.wav,9.89,07bc7b83bd3bf7574fb0a24fb62acda5ec001f3cb24ffdd6197e0aa0bc382fd1
5639_4,real,5639,M,corpus/final/real/5639_4.wav,7.71,d3126e299458835dba37c8570c6c810afe8c6cad5674b6367f04b6f6f84291e3
5683_0,real,5683,F,corpus/final/real/5683_0.wav,4.54,6c8307397af9585d674fbde6569046a6322ad8672ee21380361e8ad32cc67170
5683_1,real,5683,F,corpus/final/real/5683_1.wav,7.84,53c0f73b768ea97cd476722f57e0932db58ae7f2f21befb51207c85333792222
5683_2,real,5683,F,corpus/final/real/5683_2.wav,11.61,b486c42ac859e312f69f6a5cb749ecc2ebe6d1933d5528420961cb756d0b1da4
5683_3,real,5683,F,corpus/final/real/5683_3.wav,8.8,2ca26141fc99c953eddaab871d6dcba4c86b35ac5ae9685c9b18c5602966bc71
5683_4,real,5683,F,corpus/final/real/5683_4.wav,9.62,ce3b3a5fdc7b1c62d4f330121d91779b134715515e5a29d52be1430e83a84277
61_0,real,61,M,corpus/final/real/61_0.wav,4.77,0c1ea3ccf3beb4f2c415d4ae47a04eed8b85cd4e98fb2ac00d0d001101b9e5c3
61_1,real,61,M,corpus/final/real/61_1.wav,6.42,1494655373e5b454ce3e5bb385d3bd91a55d0573ba1213f09ceb4f94e332fd65
61_2,real,61,M,corpus/final/real/61_2.wav,5.42,8f5b3270cc4b6ae71557f06137007878becc00de8039f5434002a5db5481f71f
61_3,real,61,M,corpus/final/real/61_3.wav,5.42,87069286601535447738588c90fbc1133ef51538d555497b850c6db7315d9599
61_4,real,61,M,corpus/final/real/61_4.wav,6.08,582263234f5a4fd9c66f3c17c431fad76a7d0d78ba343d6e2d8f73132000d405
672_0,real,672,M,corpus/final/real/672_0.wav,5.07,c99c83a47c9c8d9b36e741708f0c6204d289ddce14a8c80d2ae3ec6173224ffb
672_1,real,672,M,corpus/final/real/672_1.wav,6.96,7b301e963268a413944dc575927206fb61407fb64107851da38cf821a98ddda7
672_2,real,672,M,corpus/final/real/672_2.wav,9.28,cd3385f106b074a93c8615f9251d467cbc92094ffcda01457dd83f3b8dd10487
672_3,real,672,M,corpus/final/real/672_3.wav,11.09,efa07c273848d4b97ca98e915b9bd5229fe36ae73144046faeb77d26a2c66847
672_4,real,672,M,corpus/final/real/672_4.wav,6.67,b0caede03fdb235a9cb3f85252d76bbdc4e1a51cf0dae2fddc56eafacd43ccb6
6829_0,real,6829,F,corpus/final/real/6829_0.wav,5.96,aa5beaf1e36097ed8fbd5549a00a6a0fe4da95c468c1c4fed9d729f30033c972
6829_1,real,6829,F,corpus/final/real/6829_1.wav,5.53,c6f41fabc8e02426466f5422ed3d0713bdd1e7c9d041ab5232fdd2a795ad1981
6829_2,real,6829,F,corpus/final/real/6829_2.wav,4.51,e69aa78b33d306f3bcdbbd57155518522a352902078bc370f6b4f7fcda4807ce
6829_3,real,6829,F,corpus/final/real/6829_3.wav,6.12,9dabe51e80fbb297eae35742a3a4dd7515f24f7444e2212fd9b33e5353462d0c
6829_4,real,6829,F,corpus/final/real/6829_4.wav,8.85,05f70e555f94c1147d8d18c1c728ca15f311e7b89308633a4be785e2b75b5acd
6930_0,real,6930,M,corpus/final/real/6930_0.wav,11.46,da757d4f14070340efa6cf5f2a4c1f830ebcd746e9517fd6cb034458d1caf6cd
6930_1,real,6930,M,corpus/final/real/6930_1.wav,6.71,959fb718dc73fba9963f71a3dd96cd16faf823bce6ce86760dd7a00b346b904d
6930_2,real,6930,M,corpus/final/real/6930_2.wav,6.25,4b5685cb35cdb3c5dcdfa6ff429e1d2da6656e7a4da231f2cbcdbe981871ec14
6930_3,real,6930,M,corpus/final/real/6930_3.wav,5.58,5a495aea55260e3c50cb843a5bf4fedc1b125413765416721a59fca3ddd0dcf0
6930_4,real,6930,M,corpus/final/real/6930_4.wav,7.2,60cc99a425012a6926334b976f7f7b609ee2fdea59faf01f0a2a7e52fb7f8a40
7021_0,real,7021,M,corpus/final/real/7021_0.wav,6.39,dc0b91832f266cfce11c6d7b1986df5051ff0fd083d5148f30ba02f91fdce2d0
7021_1,real,7021,M,corpus/final/real/7021_1.wav,6.86,3e6aa3eb76f05fbde33a0ceaf7e72497177029e77850e537ef6240d6f66c2caa
7021_2,real,7021,M,corpus/final/real/7021_2.wav,6.37,35a39f843ba3c9e3ecc904309b092be7bf7c116392408bdfa66a08b4cc887fc6
7021_3,real,7021,M,corpus/final/real/7021_3.wav,11.95,5946271272fe0aa7d65ca3375dbe22d012103fbbf6690632b46d1c8be8298eae
7021_4,real,7021,M,corpus/final/real/7021_4.wav,5.42,610b7854dfff90fa46e2af1c7444aad66228ce5d1baaaad78674d1e9fb336616
7127_0,real,7127,M,corpus/final/real/7127_0.wav,5.68,0e4a204233aa5c305a732c60641fa172f331326c1075b32ce50b334ca01f4bc8
7127_1,real,7127,M,corpus/final/real/7127_1.wav,7.04,8329908684243f61b94007c1542a0c7c458c403c7d139bfa5eab9a9c503d3739
7127_2,real,7127,M,corpus/final/real/7127_2.wav,9.27,7588fd34f9d83d0c8c3cf62768dfcc0ae94ed53c26e080842fc8af74327e1a2c
7127_3,real,7127,M,corpus/final/real/7127_3.wav,10.57,24811ae02383743b1e7703dff6fcc1d3631ff0c1f97f9eb41aa1f03c6325edce
7127_4,real,7127,M,corpus/final/real/7127_4.wav,6.92,6659656ebbcff9705757d73270ce3ed0dc9feeffb4c1e11767da426b026a6758
7176_0,real,7176,M,corpus/final/real/7176_0.wav,5.45,20c73d2c53398026e43136c11e65bb4741de28b0dc71f747a087ac912611aabf
7176_1,real,7176,M,corpus/final/real/7176_1.wav,6.09,9a119c7d52df584c6992504580e66582e0a8db893c2fbb6246ff0b27e3694df2
7176_2,real,7176,M,corpus/final/real/7176_2.wav,7.67,39469a3d5ff8228be02823e2b9a9660af738fa5814de9d8c93793126f768cab1
7176_3,real,7176,M,corpus/final/real/7176_3.wav,7.91,232034f93afed9505600d5f7d3a4943b9f96cd602f722805de06a521137e316a
7176_4,real,7176,M,corpus/final/real/7176_4.wav,7.96,bf8e9744a89ef5dac9a8e819d5cc1bbe43144222eaba78fb5eb8f54d75066a8c
7729_0,real,7729,M,corpus/final/real/7729_0.wav,9.62,25c5e81c93626215329a4fbbb7a570c2ecb7b13ccc3827130fdeddc2c085bc4e
7729_1,real,7729,M,corpus/final/real/7729_1.wav,7.15,bf080b79e4ba67e6b7f639b51c6a73b3a2e404e498cc7e47a6bbc44221eac5cc
7729_2,real,7729,M,corpus/final/real/7729_2.wav,7.21,407abc639fd030bc91a629201f8bd8cff60f4378964f17ecf3dc3458840dbd53
7729_3,real,7729,M,corpus/final/real/7729_3.wav,5.7,3eb030486b26f57a478aa6c1e36f9b7dc5168cef3eda945dc8270b8587ca2073
7729_4,real,7729,M,corpus/final/real/7729_4.wav,12.2,9ff03260dee524abfba76c2d254219c9473283c0244cb839b6a7adb171647bf0
8224_0,real,8224,M,corpus/final/real/8224_0.wav,6.63,0738dfc34d4b85ce85e9766515af303dc5a374c678013917f54f4f2a1b0df70c
8224_1,real,8224,M,corpus/final/real/8224_1.wav,7.21,cd27bb50d9ba6aa522768a27702de5e0ea2cb4d6bc3b29addd0f3888eea14ad2
8224_2,real,8224,M,corpus/final/real/8224_2.wav,8.01,00f4dc48e2a82bf47900e3f3018b3ade2cb0a893474a915d799843cd03609a35
8224_3,real,8224,M,corpus/final/real/8224_3.wav,6.88,e6e1305c06ddb59860b1752adde0d19b692805224126e8fefcbe88a2a209b366
8224_4,real,8224,M,corpus/final/real/8224_4.wav,10.21,aecba73b94f425d61b62f4d80b878f898fa6850614af3437a500beaad672b74f
8230_0,real,8230,M,corpus/final/real/8230_0.wav,11.96,8c047c442d8ce6abd098118903eb5f17944a11edf7a84b02d446dc845167f866
8230_1,real,8230,M,corpus/final/real/8230_1.wav,8.23,101051afc661bd8f8a442bc82f523ed65424c45f16d77e8902f997c2d65bfb2c
8230_2,real,8230,M,corpus/final/real/8230_2.wav,7.91,8246770bde1ac68762ac287780764a93b6df886607fc8e5aa7a2b23bf026c9e2
8230_3,real,8230,M,corpus/final/real/8230_3.wav,9.21,a3bc9525aa6d81b6b3befcfc5157e3796303f3504d71de6b07c796f07210ed0e
8230_4,real,8230,M,corpus/final/real/8230_4.wav,8.34,efc8a794cec15a7457dd083ff1b83ae1a747d661d6dfd44a264f50f157c27d50
8455_0,real,8455,M,corpus/final/real/8455_0.wav,9.96,2b06ef199b159bd4b1d65d886ec163ef4f1d07dad67957a0dc3b2d1e8bfdc90b
8455_1,real,8455,M,corpus/final/real/8455_1.wav,7.36,9fae386ee32c358fb5db2e5c2c493a07d8aa7db59b692eeed9f8ab5046540828
8455_2,real,8455,M,corpus/final/real/8455_2.wav,4.92,c33e61fba537203483d6d854affd63b58913f51b95a05c85784e817ef5fe7516
8455_3,real,8455,M,corpus/final/real/8455_3.wav,10.43,89e9834354faff36e9d0f7445b3c188702a5b60983f836b3b8a5fbf855e7af2f
8455_4,real,8455,M,corpus/final/real/8455_4.wav,7.56,4cf36320515b9936ea3d64c7e46a20711fb80a2c223f4abd69e57797cebd4558
8463_0,real,8463,F,corpus/final/real/8463_0.wav,5.68,446b2f9524cd0e3458daffe9e6ebd3ac34be014e58cd01e2c593eb79400e4e6f
8463_1,real,8463,F,corpus/final/real/8463_1.wav,5.77,9475995332c6540028a50e9339e5195662d931e77f4a5e1cffae3c82f75fed75
